player;team;league;AVR;ATbase;ATbats;HIT;HR;RBI;walk;K;salary;salary_log;Cluster
53;5;1;0.274;300;266;73;6;36;25;55;30;3.40119738166216;4
54;5;1;0.228;261;237;54;1;17;10;45;20;2.99573227355399;4
55;5;1;0.195;274;226;44;1;23;39;36;90;4.49980967033027;2
56;5;1;0.257;156;144;37;6;14;8;29;11;2.39789527279837;2
57;5;1;0.176;162;142;25;1;4;16;47;10;2.30258509299405;4
58;6;1;0.263;609;525;138;16;72;70;135;46;3.8286413964891;3
59;6;1;0.248;539;483;120;7;36;32;98;65;4.17438726989564;2
60;6;1;0.255;510;451;115;17;52;43;66;75;4.31748811353631;2
61;6;1;0.3;461;410;123;22;77;47;100;46;3.8286413964891;2
62;6;1;0.264;374;326;86;2;24;24;78;26;3.25809653802148;2
63;6;1;0.283;333;311;88;17;60;18;91;250;5.52146091786225;2
64;6;1;0.239;374;309;74;2;20;19;64;28;3.3322045101752;4
65;6;1;0.305;258;239;73;11;30;15;40;350;5.85793315448346;2
66;6;1;0.234;240;209;49;1;11;16;50;19;2.94443897916644;4
67;6;1;0.271;206;188;51;3;18;13;28;40;3.68887945411394;4
68;6;1;0.2;175;160;32;0;11;13;21;40;3.68887945411394;4
69;6;1;0.272;166;147;40;4;23;15;23;46;3.8286413964891;4
70;6;1;0.283;165;145;41;7;31;18;34;22;3.09104245335832;4
71;6;1;0.257;169;144;37;1;13;15;32;18;2.89037175789616;4
72;7;2;0.25;595;532;133;7;52;54;95;100;4.60517018598809;2
73;7;2;0.331;590;502;166;19;81;70;73;350;5.85793315448346;1
74;7;2;0.255;572;502;128;32;90;59;124;120;4.78749174278205;3
75;7;2;0.259;601;486;126;8;50;58;79;60;4.0943445622221;2
76;7;2;0.269;533;472;127;24;75;37;107;80;4.38202663467388;2
77;7;2;0.268;517;452;121;1;28;37;55;135;4.90527477843843;2
78;7;2;0.257;429;358;92;3;48;24;80;72;4.27666611901606;2
79;7;2;0.235;382;323;76;2;40;47;45;75;4.31748811353631;2
80;7;2;0.28;277;246;69;5;30;17;55;30;3.40119738166216;4
81;7;2;0.248;185;161;40;2;15;14;27;35;3.55534806148941;4
82;7;2;0.288;184;156;45;2;16;12;25;27;3.29583686600433;4
83;8;2;0.308;638;571;176;4;61;59;61;77;4.34380542185368;1
84;8;2;0.3;625;566;170;19;68;46;97;500;6.21460809842219;2
85;8;2;0.24;662;551;132;3;42;41;104;70;4.24849524204936;2
86;8;2;0.317;615;524;166;15;70;72;131;90;4.49980967033027;2
87;8;2;0.307;534;488;150;18;74;34;48;300;5.7037824746562;2
88;8;2;0.3;541;473;142;6;55;54;95;200;5.29831736654804;2
89;8;2;0.301;423;392;118;18;56;24;80;220;5.39362754635236;2
90;8;2;0.291;398;344;100;0;21;33;47;180;5.19295685089021;2
91;8;2;0.252;273;250;63;1;21;13;54;45;3.80666248977032;4
92;8;2;0.19;294;247;47;5;32;12;83;100;4.60517018598809;2
93;8;2;0.296;192;162;48;5;29;24;28;45;3.80666248977032;4
94;8;2;0.216;190;162;35;0;25;7;23;76;4.33073334028633;4
95;9;2;0.287;610;533;153;3;43;45;57;70;4.24849524204936;1
96;9;2;0.238;478;453;108;16;61;18;47;85;4.44265125649032;2
97;9;2;0.277;544;451;125;8;57;76;66;71;4.26267987704132;1
98;9;2;0.27;478;445;120;10;54;23;43;200;5.29831736654804;2
99;9;2;0.238;408;357;85;10;49;40;74;180;5.19295685089021;2
100;9;2;0.253;342;320;81;3;18;8;71;21;3.04452243772342;2
101;9;2;0.275;249;222;61;0;9;14;32;40;3.68887945411394;4
102;9;2;0.248;249;218;54;4;25;27;60;130;4.86753445045558;4
103;9;2;0.197;224;198;39;2;21;15;55;59;4.07753744390572;4
104;9;2;0.27;210;185;50;4;28;20;51;26;3.25809653802148;4
105;9;2;0.311;182;161;50;12;33;16;36;250;5.52146091786225;2
106;9;2;0.261;155;142;37;3;12;8;14;27;3.29583686600433;4
107;10;2;0.283;618;545;154;7;53;57;71;50;3.91202300542815;1
108;10;2;0.269;579;517;139;2;36;16;55;110;4.70048036579242;1
109;10;2;0.327;509;459;150;4;70;43;45;90;4.49980967033027;1
110;10;2;0.221;581;448;99;24;71;118;140;42;3.73766961828337;3
111;10;2;0.291;488;444;129;8;46;36;78;160;5.07517381523383;2
112;10;2;0.25;415;372;93;7;41;24;100;18;2.89037175789616;2
113;10;2;0.263;432;350;92;1;36;65;84;120;4.78749174278205;2
114;10;2;0.242;243;215;52;2;18;19;22;30;3.40119738166216;4
115;10;2;0.248;230;214;53;7;22;11;55;NA;NA;2
116;10;2;0.219;251;210;46;5;31;35;66;40;3.68887945411394;2
117;10;2;0.234;204;184;43;2;17;12;18;31;3.43398720448515;4
118;10;2;0.264;209;182;48;1;17;20;46;78;4.35670882668959;4
119;11;2;0.288;642;532;153;3;61;96;100;240;5.48063892334199;3
120;11;2;0.259;561;475;123;4;47;70;98;65;4.17438726989564;2
121;11;2;0.273;501;440;120;14;55;47;100;78;4.35670882668959;2
122;11;2;0.29;450;396;115;34;73;45;156;180;5.19295685089021;3
123;11;2;0.257;466;382;98;34;90;79;124;380;5.94017125272043;3
124;11;2;0.202;423;381;77;7;36;17;74;90;4.49980967033027;2
125;11;2;0.26;429;350;91;0;26;32;46;59;4.07753744390572;2
126;11;2;0.215;330;284;61;10;27;20;112;17;2.83321334405622;2
127;11;2;0.247;272;243;60;2;16;14;48;26;3.25809653802148;4
128;11;2;0.263;233;205;54;2;20;15;45;24;3.17805383034795;4
129;11;2;0.252;173;147;37;0;13;16;42;25;3.2188758248682;4
130;12;2;0.265;637;555;147;8;57;63;139;48;3.87120101090789;2
131;12;2;0.269;602;531;143;27;100;58;89;200;5.29831736654804;2
132;12;2;0.293;540;471;138;25;85;45;108;180;5.19295685089021;2
133;12;2;0.245;512;432;106;5;47;51;98;100;4.60517018598809;2
134;12;2;0.259;461;382;99;0;32;43;92;40;3.68887945411394;2
135;12;2;0.227;427;375;85;14;57;42;108;50;3.91202300542815;2
136;12;2;0.258;291;264;68;4;28;15;45;18;2.89037175789616;4
137;12;2;0.174;304;259;45;6;19;19;52;43;3.76120011569356;4
138;12;2;0.296;274;243;72;4;29;22;40;70;4.24849524204936;4
139;12;2;0.274;234;212;58;10;31;21;48;100;4.60517018598809;2
140;12;2;0.268;175;164;44;2;11;9;56;10;2.30258509299405;4
141;12;2;0.263;166;137;36;2;9;6;22;17;2.83321334405622;4
